sentence,aspect,sentiment
"a quiet resort a very quiet, clean and safe resort, god willing, it is a beautiful place for the conservative family and there is no noise or anything.. the hotel is two floors and small and reception is good and service is fast and friendly and parking is available very much and they have a clean beach with some water games you can rent it as a jet ski clock of 1637321632; real and small boat manual of 163732; real and ship of 16371632.",reception,neutral
because the hotel level is one star they do not clean the room during your stay. you should also order new toilet paper wipes if you want to have them.,room,negative
i will never go to it again the hotel is not clean and vibrates at night from loud music... the food is very bad. i do not recommend getting off at this hotel especially since its location is far from the city center!!! you will have to order a taxi and its driver will definitely blackmail you,food,negative
"the rooms in the hotel are good, especially the rooms on the second floor, where they are renovated and have new tvs, as well as the hotel staff are highly efficient, this was the first time i stayed in the hotel, but of course it will not be the last......",employees,positive
"a bad hotel, a bad air-conditioned hotel that makes a bad sound, smells bad, smuggles water from the air-conditioning and the water cycle, the tap moves to install it in a silicone with a disgusting view.",hotel,negative
acceptable place the place is acceptable and looks modern and modern. rooms are comfortable.,hotel services,neutral
"as for the restaurant, there is no water to drink except bottled water and 12 egyptian pounds.",receptionists,neutral
normal in a quiet place this pencion is about 2 km from zelamsey in a completely quiet place next to the cable car shemtin need bus number 071 to get to zelamsey the room is normal and relatively small and the balcony is also small,parking,neutral
not worth the money i found that male employees are more willing to help,amenities,neutral
i traveled there from 13-9-2013 to 16-9-2013 and unfortunately i did not enjoy due to the very bad treatment of the egyptian children who do not deal with respect only with the foreign visitor and the reason is known of course,treatment,negative
"a happy stay in the hotel is a permanent customer, and a great homestay as if you were in your home, as i hope that the excellent service and the appropriate prices will last,",prices,neutral
i liked the approach of the hotel staff and the professionalism and responsiveness in general.,hotelservices,positive
the italian restaurant is terrifying! the type of drinks included in the accommodation cannot be accepted. the beach is beautiful.,eating,negative
a very good hotel through my experience this hotel i see that the hotel is hadi and clean and easy to reach with the excellence of service so what i visit dubai book in this hotel but there are some toilets such as water in the toilets without pressure as bathrooms are tight some things but this does not reduce the hotel's splendor.,restaurant,neutral
the bathroom was also bad and the bathtub was disgusting.,bathroom,negative
"i was booked a room for three people by al-harran company and upon my arrival and throughout my stay, the company follows up with the hotel to change the room uselessly, breakfast is not varied, they do not help you to load the bag, the internet is bad, the lighting is bad, in short the cheapness is obvious in the hotel, the staff is not friendly. i do not recommend staying in it especially for families",meals,negative
i loved the pools there. the pools were clean and uncrowded.,pool,positive
featuring well-maintained indoor and outdoor play facilities. good dining restaurants.,amenities,neutral
"seven nights of suffering despite the beauty of the site and its importance and the large area of the hotel, but the management is very bad and without the kindness of some of the staff in the hotel would not have stayed for one night.",location,positive
the restaurant has a variety of food.. swimming pools good.. and thanks to all the staff..,meals,neutral
"very nice hotel, honestly i am the first time down cairo and in all honesty the hotel is very beautiful",hotel,positive
"a respectable hotel in an excellent location located in the center of the city and famous places. affordable prices, basic facilities. the rooftop swimming pool serves as a treat.",hotel services,neutral
"a respectable hotel in an excellent location located in the center of the city and famous places. affordable prices, basic facilities. the rooftop swimming pool serves as a treat.",location,positive
"the only problem with the food was that some of the meals were very bad and the meat was raw, but the huts were very beautiful.",facilities,positive
"great breakfast hello, they offer a special daily breakfast, but we ordered a good omelette and coffee that does not end with 10% of the cream. the service is fast and the food is good, and in general, everything is good. the locals recommend this place for breakfast and dinner. the decoration in the restaurant is family. free parking, enjoy, thank you",meals,positive
"rooms are very basic. only a few rooms have ensuites. and the rooms don't have much, just two double beds and a small chair.",amenities,negative
a very nice place! a very good hotel with beautiful and new rooms. great staff and friendly.,place,positive
"the hotel is very suitable for a quiet vacation away from the hustle and bustle of the city, the level of eating is excellent and the hotel staff is very kind and generous.",hotel,positive
the service is poor and the bathroom has not been cleaned for three nights and you should also order toilet paper. it is in total no more than a three-star hotel,service,negative
i'm in room 1122 right on the sea. the hotel is more than 5 stars and the treatment is good. the food is very beautiful and healthy. the location is calm and beautiful.,employees,positive
the staff services are very helpful and quick. and they respond very quickly.,staff,positive
"even though we were on our honeymoon, there was no interest at all.",room,negative
"a nice private small house, the owner is doing his best to please you. the view is great but it can be better if the trees are higher. amazingly quiet. it was great that the kitchen cabinets were full and the kitchen fully equipped.",views,positive
"however, breakfast is very modest and there are not many options for the arab inmate.",internet,neutral
"the hotel's standard room is fairly clean, with a view over the kaaba, the hotel's entrance is good from the back and not directly on the haram.",bathroom,neutral
the dining area was divided into two and the food was ordinary as there was no variety.,staff,neutral
we ate a delicious bad thai and drank a few cocktails. the rooftop bar is super cool and looks amazing at night when you’re surrounded by skyscrapers... come down here!,facilities,positive
"the facilities are great, and the staff has a great ability to achieve what you wish for. easy to walk anywhere, it's expensive but it's worth every cent.",fitness,positive
drinks are available and well distributed. the overall atmosphere of the hotel is excellent. the swimming pool of the hotel is distinctive. i recommend to try the submarine.. and choose rooms with direct views to the sea,cleanliness,neutral
"the best hotel in najran has the best receptionist in saudi arabia, nice staff, a nice hotel and a clean swimming pool.",pool,positive
"a very dirty and noisy hotel, the location is good, as it is a 15-minute walk to the old city. however, the place is very noisy, as it is located right next to the construction site. the noise starts from 07.00 am to 20.00 pm.",bathroom,neutral
"good hotel. very close to haram well, very comfortable accommodation in diyar royal! very close to haram.",accommodation,neutral
the food is grotesque and the pool is small.,pool,negative
a very nice place! a very good hotel with beautiful and new rooms. great staff and friendly.,rooms,positive
"but the biggest problem is the very average food in any of the restaurants. a typical block, the hotel meals have no panache.",location,neutral
very stylish hotel and excellent location i stayed for two months in this hotel.,location,positive
amazing stay in braha. can't forget.,residence,positive
the hotel's facilities are more geared towards business travelers and transit passengers.,hotelservices,positive
there's no air conditioning in the rooms. there's no water in the bathrooms.,accommodation,negative
"the hotel in mecca does not reflect the reputation and name at all, as the lower positions and the number of people in the reception and the method of check-in and check-out is very difficult",hotel,negative
"very good hotel and excellent service and breakfast is diverse and helpful staff and its location is excellent in egypt nice people 100 beautiful hotel is close to the pyramids and close to the market near the pyramid street.....and the popular air around the hotel. must not forget the general cleanliness in the hotel and swimming pool hotel good for tourism, comfort and air change",bathroom,neutral
city life the hotel is very excellent and clean and very dangerous located in front of the tram station johanna and the area is quiet and the staff is very serviced,residence,positive
visit a wonderful place and very wonderful rooms with a beautiful back garden and a beautiful swimming pool characterized by calm and very suitable for spending time with the family the crew is always happy to serve you despite the lack of services where the price is very suitable for its features breakfast is okay what is wrong with the villa away from the city center and the difficulty of knowing its place by taxi or tuk-tuk your brother / hussein al-hajji saudi arabia - al-ahsa,receptionists,neutral
"it's an old hotel and it hasn't been renovated. i stayed here on a business trip because i had to, but it was a very pleasant experience.",wifi,neutral
but the view is normal. the rooms are well taken care of.,room,neutral
"the price is very high, the service is excellent, and the location is great. perfectly located near the most important inner city landmarks of vienna.",prices,negative
"room management and service were very good, the quality of the food was good, the free breakfasts were quite good, and the tea was served awfully cold.",location,neutral
the resort is very clean and the service is above excellent and the reception has been a lot of attention.,reception,positive
"the food is fine, the staff is bad, the furniture is old.",amenities,neutral
"for the loyalty, love and appreciation of all the staff at the intercontinental hotel amman - jordan i extend my sincere thanks and love to this distinguished team for the good treatment and wish everyone all the happiness and good luck for their keenness to make us happy throughout our stay in the hotel,",hotel,positive
a beautiful place of value the jewel hotel is not located directly on the beach but a few meters to the side of the sea.,hotel,positive
different emotions positive aspects:- near the subway station - near the city center - near the buddha temple - very inexpensive - breakfast is good,views,neutral
the room is fine if you're going to spend the holidays at very simple parties.,views,neutral
the hotel is comfortable and its staff are cooperative with customers and the service is excellent and this indicates successful and successful management.,hotel,positive
"service, cleanliness and high-end treatment",cleanliness,positive
"we have stayed in many hotels in delhi, agra, jaipur and ahmedabad, and we love staying at this hotel where we stayed four times in the past year.",rooms,neutral
hotel staff do not respect the privacy of guests and enter rooms without permission at any time.,employees,negative
"* air conditioning does not work but does not need * restaurant medium * there is no cte d'ivoire (cabinet), a defect i consider more serious than the absence of an elevator and the worker is forced to carry bags on the ladder",room,neutral
"we enjoyed a great stay at the port said hotel - egypt for tourism, the location is great and the hotel is 5 stars and has the character of luxury that there is no match or competitor in port said",hotel,positive
the hotel canceled the reservation.. because there are cracks in one of the hotels and the hotel is not safe and the response of the hotel manager mr. hisham is not responsible at all.,tourism,negative
"and the food is very, very bad, and the service is garbage, and the loss of the money is impossible, i repeat the visit and do not recommend anyone to get down in this very bad place.",food,negative
there is no security site in front of a cemetery i swear that in apartments demons do not advise anyone to live in these apartments even the water in the tap is dirty,furniture,negative
"not bad for a private overnight stay with wi-fi very close to the train station and not bad, the room i got was clean with wi-fi inside the room.. safe location and not noisy as it is located in the market but it is almost in the alley... good prices for overnight stay and a good place to take a bus trip to abu sunbol on 3 am from...",facilities,neutral
hotel and chalets on the beaches of el kantaoui sousse tunisia from the beautiful places that make you enjoy the tranquility and comfort in the embrace of the sea and its wonderful breeze and provides you with multiple options in the quality of accommodation you desire and there is a great restaurant characterized by the provision of various foods as well as proximity to the golf course in addition to shopping centers,food,positive
there are excellent services as it is the only hotel that has elevators on the beach and excellent service and my attention the pillows in the rooms are very comfortable,elevator,positive
we ask the gentlemen in charge of this place to pay attention to him and must believe in the pictures displayed on the internet as these pictures do not represent reality in relation to,facilities,negative
a very good hotel from the best hotels in sharm el sheikh and has an excellent group of staff such as chef attia and reception eid and sameh,hotel,positive
the hotel is not worth more than two stars. it's very old.,hotel,negative
five stars is never worth a hotel in need of cleanliness and i'm afraid to write that it's dirty and all dirt and reception is very bad so that children and the elderly remain waiting 3 hours until the rooms are cleaned before check-in and do not care or take into account the presence of infants and images published by the hotel is deceptive,hotel,negative
the new room was flushed and the sink was blocked. we had a leper in the room (and a friend's room nearby) and we couldn't get him out.,room,positive
"nice hotel and team animation one family service in the hotel is reasonable, and the full number of rooms in the period of the best needs that exist here, the team called animation and in two young people named karim and assam of the team that they work more than shaw hill, whether on the swimming pool or at night in sufficient show animation contributed to the fact that people in a hotel all know each other and feel that it is a family unit",rooms,neutral
"the worst hotel, the worst hotel in egypt, i do not advise anyone to stay in it unfortunately i guessed it, but it is disgusting and the wind in the rooms stinks and the air conditioning nets from the hour they invented the air conditioning and the misfortune that the price of a real respectable hotel tani hotel disgusting beyond the limits.",rooms,negative
"the rooms were dirty - the sheets and towels were stained, the carpets hadn't been vacuumed in a few months, and the carpets weren't cleaned.",amenities,negative
"a hotel that lacks the lowest degrees of tourism, it is a dirt address in its rooms and services and food even utensils where they serve food is not washed and leftovers of food and previous drinking,",service,negative
very beautiful water games and service and very beautiful water games and pure organization and in which games for children and food is very beautiful and many but sweets and the monster of the hotel is very wide and the beach is terrible and pictures here is a masterpiece i recommend anyone by the hotel qualifies mlion star,fitness,neutral
normal rooms from the 60s. very expensive rooms and exorbitant fees for the use of a computer - which should be free for guests.,rooms,negative
"beautiful hotel in fact i did not see the negatives of the smell of food can smell in the floors and slow in cleanliness, but the hotel is close to the sanctuary, while the gate 20-21 overlooking the main street dining is much better than mecca and its varieties better and more expensive free wi-fi 24 hours entrances to the hotel from different streets i would prefer to disembark again and no problem",hotel,positive
"hotel for visitors to the global village, dubailand and the chinese market, a good stay for seven hours after visiting the global village and flower garden.. where the room was a family of 3 beds and the space was small",hotel,neutral
"worthless i went there two years ago when albatross was running the hotel. it was a very good hotel, and the services were very good. but now, under the new administration, it's too expensive for the service. i couldn't sleep because of mosquitoes, and the quality of food was very bad. i had a really bad holiday there.",room,neutral
the hotel is clean and the food tastes good and the prices are good for everyone.,receptionists,neutral
we stayed one night at lq park 10. its location is near the kaboom volleyball facility.,bathroom,neutral
excellent hotel in everything. the location is excellent from the women's entrance.,hotel,positive
"rooms the room is suitable for space but it is simple and lacks the african character except for the paintings only in the room, as well as the upper floors only after the fifth floor is the one that has a good view of the surrounding areas,",food,neutral
not worth the money i found that male employees are more willing to help,staff,neutral
"visit atlantis this hotel combines attractions, entertainment, premium restaurants and shopping",restaurant,positive
non-observance of a connected room and poor reception.,reception,negative
"good location, good service and bad service rooms were good and the staff cooperated, but the bathroom was the worst i had seen so far.",service,neutral
"the hotel is very clean and the spa is very wonderful and the breakfast is the most beautiful meal and all the staff have taste and enjoy the civility can spend the whole day inside it without the need to go out and the system of eating meals is excellent, but more attention must be paid to the swimming pool",resort,positive
beautiful experience great location.. the staff is excellent and friendly.. buffet breakfast despite its small size but it is more than wonderful and if you do not find what you like..,reception,neutral
there is no parking service glass for the bedrooms can not see anything from the abundance of dirt under the pretext of building next to them to build carpets in the rooms an eternity and has a bad smell and i do not recommend it at all and god i was a barrier two nights and worked out of the early morning because of our discomfort with it,parking,negative
"the food is fine, the staff is bad, the furniture is old.",staff,neutral
"conrad follows the hill tone group fast service and high-end treatment for the inmate, the rooms are clean, the bathroom design is high-end and the spaces have been exploited in a thoughtful way there is a rinse,",rooms,positive
"not very five stars. i had to stay here for two full days as a hotel workshop. the rooms weren’t bad, but i’m not sure about the five-star rating. the food level was average, and there was nothing noticeable, but you could swallow your bites. i think it’s overpriced compared to similar hotels.",accommodation,neutral
the room is clean but has very modest facilities.,cleanliness,neutral
"the hotel's standard room is fairly clean, with a view over the kaaba, the hotel's entrance is good from the back and not directly on the haram.",fitness,neutral
"but the staff were neither friendly nor organized, and there was no free wi-fi.",staff,negative
the location was perfect a short distance from the railway station.,transportation,positive
"everything is beautiful in this hotel, receptionists, baggage handlers, janitors, etc. you feel like working to rest and this feeling is difficult to find in similar places.",reception,positive
breakfast is excellent and varied.,meals,positive
"breakfast is good and well-positioned, we had some high-heating notes, and some customers don't take care of public taste, and the hotel doesn't deter such acts.",amenities,neutral
"but when i met the evening manager, it was at the top of the morals and style, that i forgot his name, and i met the girl on the right of reception as well, she was at the level and she was sitting at a table with a public relations sign on it, i swear that the hotel only has these two people from the palm of the tool, and my visit to the hotel was in eid al-adha 2010 and thanks only to these elegant and beautiful young staff. ali abukhazam",position,positive
"great place, nice place, great service, really, i'm comfortable in the place, and it's clean and big, and everything's beautiful, and it's excellent, and it's close to many places, and besides, the food was delicious.",location,positive
"this hotel is very good and i spent a honeymoon and we enjoyed our time there and the food was excellent and the staff at the top of respect and cooperation, but when trying to renew the duration, the response was that we must book from the tourism company that we booked and we can not renew through the hotel directly otherwise the trip was very beautiful and a wonderful honeymoon from the best days of my life special thanks to all the staff of the hotel",hotel,positive
very fine hotel and its services are excellent..,hotel,positive
"order two, there's a lot of cockroaches in the room, third, room service is really bad, we've ordered coffee twice, and every time it's worse than the second.",hotelservices,negative
i also didn’t like the way the receptionist treated me and my friends. that wasn’t how guests were treated.,interaction,negative
this hotel was good for us and cheap for a night’s stay before transit.,pool,neutral
the place is very comfortable and family close to everything with special rooms and the price is good,reception,neutral
"avoid this place if you are looking for a good place to stay... the location is fine... but it is difficult to find a taxi. the services are very bad, and the receptionists are arrogant... no one cares... avoid this place... breakfast is not bad, but it is not fresh, i would not want to eat in such a place... it is not worth the money you pay...",reception,neutral
very nice hotel my experience with sonesta first location is considered excellent close to everything from the airport about 1633; minutes of service is excellent there is a variety of sea food is very beautiful and bisin there is one large and another contains water games for children,sea,positive
and the restaurant could be a more arabic variety.,cleanliness,neutral
the place was great. the place was great. excellent service. great view.,service,positive
"it's not supposed to be rated 4 stars breakfast repeater and the size of the rooms is somewhat appropriate, but the services are bad internet c in the rooms and sometimes even lack.",rooms,negative
"despite the renovation, we would not have stayed there if we had known that there was construction work, it is a noisy place, and there is not enough space at the swimming pools.",location,positive
"terrible! the room is disgusting, a hard bed like a rock, you can hear everything through the hotel, even sleep is impossible.",bedding,negative
there was free parking and free wi-fi. the breakfast buffet wasn’t bad but it didn’t fit into a 4-star hotel and the crew was good.,transportation,neutral
more than a wonderful new hotel has been opened in a very excellent location overlooking burj khalifa.. i lived on the floor and the view was very beautiful,facilities,positive
"the rooms are spacious but not encouraging and with the appearance of cleanliness there is a widespread smell of mold, furniture is dusty / dusty / sticky and upholstered, and yet the bed sheets were clean and fresh.",cleanliness,negative
the observation that i've made from my experience with this hotel and club is that clients who have reservations through stone agencies are careful not to let them get to you.,facilities,negative
the hotel is excellent but its management is poor and the service is slow and entry is after 1636; afternoon. you will not enter the room until 1636; afternoon.,service,negative
"rooms with guest rooms are available on request with one or two beds and a large bathroom and it is the best trip that can be made by people, especially newly married",rooms,positive
slim elias slim kanaan the hotel is great and the management is very successful and cooperative the spacious rooms are comfortable and clean i was in the same resort (2010) but i noticed a big difference this year in everything i recommend to visit the resort for everyone. i was with the family the rooms under the name of dr. abdullah elias my room 2137 my children's room 2136 we took 9 rooms.,hotel,positive
smuggling in bathrooms and breaking sanitary ware.,amenities,negative
i asked for a plate of fruit. i asked for cake. i asked for reception and room service.,reception,negative
very simple rooms.,rooms,negative
"the rooms are very bad, the air conditioning doesn't work, the service is poor, the restaurant is average, and the reception is generally reasonable.",service,negative
breakfast is fine though.,beach,neutral
a high level of cleanliness and elegance,facilities,positive
as well as the wonderful restaurant and the excellent quality of the warm reception and the overall appearance of the hotel is more than excellent,restaurant,positive
mvenpick for business travelers from the united states the hotel is comfortable for people from the united states. eating options are good. a good area for exercise but it is for men only.,accommodation,neutral
"great value for money. in a good area, breakfast was very simple but more than enough to start the day since there is so much to eat outside the hotel. thanks for a warm stay, i would definitely recommend it.",television,neutral
"bad experience, bad hotel, bad service, bad food, really bad employees, and they stick their noses in everything.",hotel,negative
"a very, very nice hotel which is suites consisting of a room and lounge’s excellent staff treatment.",staff,positive
"spacious room is a beautiful experience in this hotel, only a little inconvenience after midnight on weekends!",room,positive
"this place avoided dirty rooms. the staff and management were unprofessional. i spent a few days here and highly recommend staying away from this ""resort"". expectations from the staff are clearly low due to the level of customers. they treat everyone here with suspicion and disrespect.",rooms,negative
"the beach is beautiful... the swimming pools are large, clean and gorgeous... the low light of the night is charming.",pool,positive
"but short of things like cleanliness, it has to be higher than service, it has to be better than that.",service,negative
"comfortable but not great hotel i traveled on 9/2012.. the atmosphere was nice, the service was good, and the place is really good and comfortable (in front of the village of a thousand nights, and the markets, and the neighboring pharmacies, and near the old market). my family enjoyed relaxing. but unfortunately, it is an old-fashioned resort, and the beach is small and not enough for activities, with not a lot of entertainment.",location,neutral
hotel failure first is never suitable for families. the old mattresses are filled with night women up to the hotel.,hotel,negative
"our room was well furnished and the design was fine, except the floors were dirty. all the floors in the kitchens and bathrooms are dirty.",fitness,neutral
and the restaurant could be a more arabic variety.,fitness,neutral
"we tried to book a deal through the hotel and found out that they were overpriced on everything from transportation to restaurant reservations to the deal. they start by offering us a price, and then add a fee after we agree on a price.",transportation,negative
experience is the best proof before his stay in the hotel i have read many comments and all of them do not tell the truth. i have not found or seen any of what has been said about him and all of them were lies and slanders. man should be followed to write honestly and safely because he is an accountant. and thank all the hotel staff for hospitality and reception.,rooms,neutral
"beware impossible! the owner is a crook! when you are in marzouka, he tells you that the trip to the desert is cheap (250 dirhams per person). he takes you to a hotel (about 25 km from the desert), then tells you that the price is 2500 dirhams per person). he shouts at tourists, tries to blackmail them...",prices,negative
"very good hotel suitable for non-smoking, and the size of the rooms is small grill, but its price for the rest of the hotels is suitable, and has no facade on the public street,",internet,neutral
"an unsafe place i spent seven days on a family vacation here and although the rooms were good, the rooms were dirty, the glass could barely see through it, and the worst of it was that we lost an expensive camera and some other things, and the administration didn’t pay much attention and the police failed to find out who did it even though it was clear that the only people able to get in were the room servicers.",accommodation,neutral
filters are not working and of course food is useful only for non-humans.,food,negative
"the location of the building on the outside looks modern, but on the contrary to the inside, the graffiti on the walls, the smelly hallways, the housing on the fourth floor is very exhausting, as there is no elevator and the first and second floors of the non-hotel rooms. it seems old was the best. for the best location in the whole city of xi'an as well as the price is also not recommended",facilities,negative
"seven nights of suffering despite the beauty of the site and its importance and the large area of the hotel, but the management is very bad and without the kindness of some of the staff in the hotel would not have stayed for one night.",restaurant,neutral
"the hotel has a unique location near the famous stanley bridge with a wonderful view of the sea, calm surrounding the place and the hotel staff works on the comfort of the guest constantly, the restaurant overlooks the corniche, welcome and good reception and a sense of interest from all the staff of the hotel, most of the rooms are almost overlooking the sea, which makes you see a view more than wonderful,",sea,positive
everyone at your service. the coffee factory is great. you can buy from the hotel.,interaction,positive
"regretfully disappointed when we went and we would have liked to have been interested in us as guests because we booked on the basis of a honeymoon.. in the phone samer owner confirmed that there is a wedding cake and surprises for the newlyweds.. we did not find any interest differently, but was less than normal... unfortunately disappointed that we felt.. we left after only one night...",amenities,negative
"the toilets are leaking where you stand to pee, the shower is broken, the place is dirty and old.",location,negative
"of course, the hotel and the cleanliness should be higher than that.",hotel,negative
"- the restaurant is very bad, the furniture is very bad, and the food is very bad.",furniture,negative
"this place (like most of kenya) thinks that people from the west can pay anything, but it's expensive for an average stay.",television,neutral
"only after a gap of two months. but yes, the purpose was different. both times, it was very comfortable. the kempinski hotel rooms are spacious and even the bathrooms are modern and feature more space.",rooms,positive
very beautiful water games and service and very beautiful water games and pure organization and in which games for children and food is very beautiful and many but sweets and the monster of the hotel is very wide and the beach is terrible and pictures here is a masterpiece i recommend anyone by the hotel qualifies mlion star,service,positive
"perfect service, professional, friendly, quick, gentle, and sometimes even smiling. an old room and a pretty crowded interior, but the bed is good.",receptionists,neutral
